,type,districttype,tags,title,text
12,plan,ush,"kalamazoo,southwest,swmichigan,battlecreek",Carter's SW Michigan plan ,"Culturally significant SW Michigan plan. I've seen plans for the southwestern portion of the state which include Berrien County in the same district as Monroe County. This is deeply inaccurate and does not represent similar communities in the slightest. As a lifelong SW Michigan resident, I believe this district makes the most sense given our shared histories, commutes, and even aligned sports conferences. These are very close-knit communities and building a district stretching the entirety of Michigan's southern border would be a shame to those who live on the Western end of the state. "
13,plan,ush,,"Keep it Simple, Submitter","Keep it simple: assign by county, then fix for population by locality. Don't guess how districts will vote, just put people together based on locality, geography, and population"
14,plan,ush,,Congresional map ,Tried to make it simple using geography and population
15,plan,ush,,Rusty's Congress,
16,plan,ush,,MI Congressional District Map Proposal,
17,plan,ush,,Congressional District Plan #1,I just tried to keep counties together and regions/communities that I am aware of. I tried to keep the overall populations as close to even as possible.
18,plan,ush,"flint,tricities,lansing,washtenaw,kent",Gregory's fair Michigan map,"Districts are of equal population if using the 2019 population estimates. I want to emphasize the communities of interest here: 1) Flint and the Tri-Cities (Saginaw, Bay City, and Midland) are a clear Community of Interest, and all four cities should be in the same district 2) Oakland and Macomb should each have a district entirely within them 3) Ingham, Eaton, and Clinton should be in the same district, as a Lansing-centric Community of Interest 4) Kent and Washtenaw should both be kept whole, as both counties form their own Communities of Interest"
19,plan,ush,,Logical district map,Did the best I could but couldn’t even out the population through each district but could not get an exact number of people for each people with one district a bit shorter than the rest. I also tried to give most districts some shore line but that’s difficult to do as well. I also tried to keep cities and towns in the same district but I was unaware of the boundaries for most  suburbs.  I did not make any adjustments for race or income of any groups of residents. 
20,plan,senate,,Senate Plan #1,"I started in the UP and tried to keep counties and city centers in the same district. When I got closer to Detriot, I started from Detriot and worked my way out to finish up the map."
21,plan,house,,House District Plan #1,I tried to keep city centers in the same district and also tried to maintain county boundries.
22,plan,ush,,County Plan,I started with the UP getting 1 district irregardless of population.  I then identified northern Mi and Southern MI. Then Mi west coast. Then Grand Rapids. Then Central with Lansing and Jackson. Then Ann Arbor and western suburbs of Wayne county. Then Flint and Northern Oakland County. Then southern Oakland county. Finally city of Detroit got 2 districts. Northeast and Southwest.    The only counties that are not whole is Oakland and Wayne. Oakland is part of 2 and Wayne is part of 3. This is a county based plan. 
23,plan,ush,,Michigan Redistricting Map,"This is a relatively compact district map, taking into account city populations."
24,plan,ush,,Congressional Districting Plan,
25,plan,ush,,Stop Gerrymandering,"Doesn't look like it's drawn by crazy or corrupt people. I have no idea what the partisan leaning is of each district, and that's the point. "
26,plan,house,,District 91 and District 92,"Re do the boundaries of the 91st and the 92nd Districts so that Fruitland Twp and Laketon Twp are part of the 91st and Egelston, Moorland, Casnovia, Ravenna, Sullivan, Fruitland, Norton Shores, and Roosevelt Park are in the 92nd.  Get rid of the horseshoe that is in existence today.  If necessary to balance the population add Egelston, Moorland< Casnovia, Ravenna, and Sullivan to the 91st. "
27,plan,house,,Larry gets rid of the Horseshoe,"Re do the boundaries of the 91st and the 92nd Districts so that Fruitland Twp, Laketon Twp, Egelston, Moorland, Casnovia, Ravenna, and Sullivan are part of the 91st and  Fruitland, Norton Shores, and Roosevelt Park are in the 92nd. Get rid of the horseshoe that is in existence today. "
28,plan,house,,Larry gets rid of the Horseshoe,"Re do the boundaries of the 91st and the 92nd Districts so that Whitehall, Montague, Fruitland Twp, Laketon Twp, Egelston, Moorland, Casnovia, Ravenna, and Sullivan are part of the 91st and  Muskegon, Muskegon Hts, Fruitport, Norton Shores, and Roosevelt Park are in the 92nd. Get rid of the horseshoe that is in existence today. "
29,plan,ush,,Cayden Snipes' Districting Plan,I'm from Marcellus which is around the Kalamazoo area in Cass County so imagining of the districts in Detroit may need some editing.  I pretty much drew these maps based off of trying to find a good balance between rural/urban voters as well as trying to divide them into different hubs so to speak. For instance I put counties in my District 1 that I thought were more connected to Kalamazoo as a sort of hub than Battle Creek and so on.   When drawing the districts for the north I thought it wise to essentially give the UP their own representative as their wants and needs may be different than our own down here and some people from the UP have expressed that same opinion. I gave them the tip of the lower peninsula as it contains places such as Mackinaw City which help fuel their tourism industry.    My main idea around the Detroit area was trying to not make a mega district down there so that the more rural people around that area actually stood a chance of being heard. 
30,plan,ush,,Congressional Districts,"My goal was to keep counties together whenever possible and make the districts close in population. Making them somewhat rectangular where possible with district 1 being the exception.  It would be good to make as many districts competitive so the most number of voices, ideas and concerns could be addressed by the district's representative. "
31,plan,senate,,everyone gets a voice,"Simply trying to avoid odd shaped districts,"
32,plan,ush,,Congressional District Plan #2,my 2nd attempt to draw compact boundries
33,plan,senate,,Cities stand alone.,The idea here is to not split up cities as much as possible. I think too many city breakouts waters down a city's voice and overly represents rural areas. I also attempted to keep strong areas strong and weak areas weak while still maintaining contiguous areas. I found this all way harder than it looks at first glance.
34,plan,ush,,Competitive Districts,"Trying to balance geographic, mutual interests, and partisan balance"
35,plan,ush,kalamazoo,Fair attempt at Federal Congress Seats,"I'm not sure a fair split of contiguous districts is possible, but this is pretty close. It leans a little Republican, and I had to do some not-straight-line editing to get there. I think I canlive with that. I do appreciate y'all letting me play around with your maps."
36,plan,ush,,Equal Voice,My plan was to keep as many districts compact and not to sprawled out. This is easier in the more heavily populated areas. They are box like wherever I could manage to do so.
37,plan,ush,,Congressional district Washtnaw/Livingst,
38,plan,ush,,Redistricting plan,"Please consider this district plan, including communities of interest and neighboring counties.  Thank you"
39,plan,senate,,Redistricting plan,Please consider this redistricting plan
40,plan,house,,House redistricting plan ,Please consider this house redistricting plan including communities of interest and county lines.  Thank you
41,plan,ush,,Proposed Map Prioritizing Fairness,"I have created a proportional and competitive map while trying to follow county, city, and township lines as closely as possible, splitting only 9 counties. I have drawn the districts based on the 2019 population estimates to try to get as close as possible to even population. 2019 population estimates suggest both district 4 and 13 will be majority Black. "
42,plan,senate,,Senate communities of interest,
43,plan,ush,,Congressional Map,
44,plan,ush,,Use the Counties for the House,The plan is to make the map simple. The plan is to keep the boundary of the county the boundary of the district and keep as close to the same number of counties in each district. This accomplishes the goals of simple maps and fairness.
45,plan,ush,,County based population,"This plan balances county boundaries with congressional districts. This breaks down in some areas, but this was balanced as much as possbile."
46,plan,ush,,A Fair and Honest Congressional Map,"A fair and honest congressional district map should be organized so that each district consists of a primary city, its suburbs, and its rural environs. Snap to county boundaries where possible."
47,plan,ush,,Proportional Mapping,"This map meets the criteria of equal apportionment within each district, and it limits the number of counties that are broken into multiple districts, as much as possible. If this map is adopted it would create 5 Democratic districts, 5 Republican districts, and 3 toss-up districts. I think that this distribution of seats fairly reflects the Michigan electorate. Michigan is a very competitive purple state, so the split between our federal representatives in Congress should almost always be 8-5, 7-6, 6-7, or 5-8, depending on the year. This will ensure that Michiganders send an approximately proportional number of representatives from each party to Congress. I hope that the Commission will consider this map and prioritize partisan proportionality as its guiding criterion when redrawing Michigan's electoral boundaries."
48,plan,ush,,LC Plan,
49,plan,senate,,State Senate using school districts,Used school district borders in an effort to keep communities together since that is a better indicator of a community then County borders The map program has its own strange restrictions that prevent a good border. If you zoom in close you can see areas that divide houses on the same street. 
50,plan,ush,,Competitive Seats,"This map would create 5 Republican-leaning seats, 4 swing seats, and 4 Democrat-leaning seats."
51,plan,senate,,Competitive Districts,This map would create 18 Democrat-leaning seats and 18 Republican-leaning seats. I like the idea of making elections more competitive.
52,plan,house,,Competitive House Districts,"48 Republican-leaning seats, 41 Democrat-leaning seats, and 21 swing seats"
53,plan,ush,,Lb's plan,
54,plan,ush,,Colin's Congressional Districts Plan,"Congressional districts. Makes sense geographically, culturally and population-wise. Could use some minor tweaking, but these are solid districts."
55,plan,ush,,LRC first attempt,
56,plan,ush,,Fair maps,
57,plan,ush,,Keep it simple,
58,plan,ush,,Caleb's Plan ,
59,plan,ush,,"Congress-Geography, not Politics","This is a concise plan based on geography and common interests, ignoring incumbents and political parties. Redistricting is for the people, not the parties or the politicians. You have urban Detroit, Detroit Ring Communities and then commonality for the rest."
60,plan,ush,,We Need Competitive Districts!,
61,plan,house,"chippewa county,luce,mackinac,emmet",Districting plan for 107th house distric,West end of Mackinac County and Luce County form a geographic COI. This plan achieves a near-perfect district population balance and historically provides a partisan balance. 
62,plan,ush,,"A fair, compact, and competitive plan","I have drawn a map following the criteria set for the commission. I tried to keep communities of interest together such as Kalamazoo, Portage, and Battle Creek in Southwest Michigan, the tri cities plus Flint, East Lansing and Ann Arbor (to unite the UMich and MSU communities since they are the largest public universities in the state), and Black communities in the Detroit area. I also followed county, city, and school district boundaries where possible. I also tried to draw the districts accounting for population shifts since 2010 so that they will be close to equal in population in 2020. In this map, 7 of the 13 districts would be highly competitive. Competition is good for our state."
63,plan,ush,,David independent analysis map,"Drawn without any political interests.  Based solely on creating centralized communities of interest that follow strongly county lines, similar political  borders, a central city center and aligned interests."
64,plan,ush,,Respectful Redistricting Plan,Tried to make it fit within communities as best as possible without gerrymandering it. 
65,plan,ush,,Christian's Congressional Plan,"There would be five solidly R districts (1st, 2nd, 3rd, 7th, and 8th), five solidly D districts (6th, 9th, 10th, 11th, and 12th), and three swing districts (4th, 5th, and 13th) 1st - All of the UP, northern and northeastern LP (Alpena, Bay City, Escanaba, Marquette, Petoskey, part of Saginaw) 2nd - The Lake Michigan shoreline (Cadillac, Holland, Ludington, Muskegon, Traverse City) 3rd - Central Michigan (Big Rapids, Greenville, Midland, Mt. Pleasant, Owosso, part of Saginaw) 4th - Kent County and area (Grand Rapids, Hastings, Plainwell, Rockford) 5th - Southwest Michigan (Battle Creek, Benton Harbor, Kalamazoo, St. Joseph, Sturgis, Three Rivers) 6th - Lansing/Flint (Burton, Fenton, Flint, Lansing, northern Livingston County) 7th - South Central Michigan (Adrian, Coldwater, Hillsdale, Jackson, Monroe, southern Livingston County) 8th - The Thumb (Bad Axe, Lapeer, Macomb Township, Port Huron) 9th - Downriver and University (Ann Arbor, Taylor, Wyandotte, Ypsilanti) 10th - Southern Macomb County and the Grosse Pointes (Sterling Heights, Warren, Detroit east of Gratiot) 11th - Detroit and SE Oakland (Detroit west of Gratiot and east of M-39, Royal Oak, most of Troy) 12th - Western Suburbs (Canton, Detroit west of M-39, most of Dearborn, Livonia, Southfield) 13th - Rural Oakland County (Pontiac, Walled Lake, Novi, South Lyon, Clarkston, Waterford)"
66,plan,ush,,Updated Competitive Map,I have updated my map. It is similar to before but I have made some slight changes to the Detroit-area districts in order to better consolidate communities of interest including the African American community.
67,plan,ush,"county,city,township,village",Donald Milne's Congressional Dist Trial,"An attempt to create Congressional districts based on the idea the existing municipal boundaries represent areas that are communities of interest.  Tried to maintain full counties, full townships, full cities, full villages, in that priority order with minimal splits.  When split, attempt was made to create compact, contiguous, districts with no concern for political party leanings. NOTE: Your redistricting tool is poorly designed for this task as it does NOT show city or township boundaries, which forced me to consult other maps to approximate them.  Some small errors may therefore have resulted when compared to my intent not to split."
68,plan,senate,,"MI Senate-Geography, not Politics",Geographically compact with no regard for incumbents or politics.
69,plan,senate,,Fair MI Senate Plan,Its important that counties and school districts of various communities remain intact . Special focus must be given to similar industrial profiles and not how residents would vote in any given district.
70,plan,ush,midland,Ashwin's Districting Plan,"I made a districting plan prioritizing communities of interest.  I am not too familiar with communities in the Detroit metro area so I didn't map the districts there. Regardless, I think Midland should be included in the same district as Saginaw and Bay City. These three cities are a common community and share an airport too. My people commute between the three cities and these cities are also ideologically more similar than the rest of the surrounding areas"
71,plan,house,,99th House dist educational catchment,"Good evening, and thank you for the opportunity to address you. My name is Cathy Willermet and I live in Mt. Pleasant, home of Central Michigan University (Fire Up Chips!) I ask that you consider educational catchment in your redistricting efforts for the State House district #99.  Mount Pleasant is a town of about 26,000, surrounded by smaller rural communities right in the center of the state. We combine the best of small-town life and university amenities. In our immediate area are Central Michigan University, the Saginaw-Chippewa Tribal College, Mid-Michigan Community College, and Alma College. We provide a wide range of higher educational opportunities to local residents, as well as students all over the region and the state. The Mount Pleasant Public School district has a wide catchment area, including students as far away as Rosebush, Lake Isabella, and Shepherd.   You can help us keep our educational community intact by redrawing the 99th district to include these areas. We provide pre-professional studies in health care and a medical school. We offer resources in STEM fields, language, the arts, history, and anthropology.   Combining these communities into the 99th district will also streamline and simplify economic development including public-private partnerships like the CMU Research Corporation. Opportunities for life-long learning and skill retooling support employment needs for both workers and business. Higher education institutions are a powerful economic driver for the state. Having a strong voice in Lansing to advocate for all of us would benefit us and the region as a whole.  I have submitted plan #21434 for your consideration. Thank you for your time.  "
72,plan,ush,,Mary's SE Macomb plan,"This submission adheres to the guidelines for mapping with about 76 person flexibility. It is contiguous without gaps and includes multiple communities of interest. Based on the number of ""unassigned populations,"" this map would be a good place to start adding populations. "
73,plan,house,,Fair MI House Plan,Its important that counties and school districts of various communities remain intact . Special focus must be given to similar industrial profiles and not how residents would vote in any given district.
74,plan,senate,"chippewa county,mackinac,luce,cheboygan,emmet,charlevoix,antrim county,otsego,montmorency,alpena,crawford,oscoda",Proposal for senate districts 37 and 38,The 38th state senate istrict would be entirely in the Upper Peninsula. The 37th state senate district would include counties of similar small-town and rural population makeup. The current 37th state senate district includes Grand Traverse County which dominates the voting balance of the entire region as well as public official attention. My redistricting plan attempts to congregate the counties with similar makeup and overall interests.
75,plan,house,,"MI House-Geography, not Politics","Based on geography, without regard for incumbents or parties."
76,plan,house,"macomb,armada township,romeo,washington township,richmond,bruce,school districts",Macomb County MI House District,"Presented in public comment live on 5/27/2021. Based on school districts, this plan encompasses roughly three school districts in which people within the community associate with. These districts all have a combination of rural and small town communities that then feed into the respective school districts. People within this region also shop within this boundary as well."
77,plan,ush,,Jerry's Map,tried to keep Detroit schools evenly split in population while keeping other major school districts intact. Also observed municipal lines as best as possible in the smaller cities and grouped them by region. (Grand Rapids/Kentwood/East Grand Rapids/Jenison) to (Midland/Saginaw/Bay City) to (Kalamazoo/Battle Creek) to (Lansing/Jackson) and (Ann Arbor/Ypsilanti) 
78,plan,senate,,Jerry's Map,
79,plan,ush,,Optics are Important,Attempted to square off districts as much as possible and keep population variance among districts to a minimum. Also sought to keep larger communities within the same district which proved more difficult than anticipated. The one great unknown for me is whether this kind of plan is compliant with the Voting Rights Act.
80,plan,ush,upper peninsula,Start at the Top,Started at the top with the Upper Peninsula and the northern Lower Peninsula.
81,plan,ush,"eight mile,dequindre,squared districts",Eight Mile and Dequindre,Start at Eight Mile and Dequindre. Try to square off districts as much as possible and make southern border of U.P. District as even as possible.
82,plan,ush,,A downriver Congressional District,"The benefit of the current 12th district is it connects these mostly southwestern Wayne County communities to the Detroit river, with the bulk of them making up an important community of interest, downriver.  These communities are distinct, with important interests that require focused political representation, and this is a rough illustration of a Congressional district that could help do that. "
83,plan,ush,,Paul's US Congressional District  plan,"With this plan, the number of seats in the US Congress would be distributed to Republicans and Democrats similar to the share of the 2016, 2018, and 2020 national elections where Democrats were slightly favored over Republicans."
84,plan,ush,,Downriver-Monroe County-SE MI Corner,"Downriver-Monroe County-Southeastern Michigan Corner Congressional District  The proposed map for the Downriver-Monroe County-Southeastern Michigan Corner Congressional District keeps numerous important communities of interest together while building around key transportation corridors, economic development regions, natural features and educational institutions service areas.  I.  Highlights of the Downriver-Monroe County-Southeastern Michigan Corner Congressional District include:  (1)  100% geographically contiguous with nominal deviation in linear geometry.   (2)  Maintains historic regional place identities such as Downriver and Monroe County with no divisions of communities.  (3)  Very close to the ideal population target with 764,754 registered voters (within maximum allowed population deviation of .59%).   (4)  Partisan balance has less than 5% variance which is highly competitive.  (5)  Racial balance is within approximately 3% of state-wide composition.  II.  Communities of interests represented by the Downriver-Monroe County-Southeastern Michigan Corner Congressional District include:  (1)  Governmental Boundaries:  *  Wayne County (21 municipalities, about 49% of all jurisdictions in Wayne County)  *  Monroe County (19 municipalities, 100% of all jurisdictions in Monroe County).  (2)  Geography, Places & Natural Features:  *  Southeastern Michigan corner (58 communities).  *  Downriver (18 municipalities, 100% of Downriver communities).  *  Detroit River International Wildlife Refuge (15 municipalities, 94% of all communities).  *  Detroit River (7 municipalities, 88% of all communities).  *  Detroit River Trenton Channel (5 communities, 100% of all communities).  *  Huron River (9 municipalities, 90% of all communities).  *  Lake Erie (10 municipalities, 100% of all communities).  (3)  Economic Assets & Economic Development Organizations:  *  Downriver Community Conference (18 municipalities,100% of all communities).  *  Southern Wayne County Chamber of commerce (18 municipalities, 90% of all communities).  *  Detroit Wayne County Metropolitan Airport (58 communities).  (4)  Educational Institutions:  *  Wayne County Community College District (21 municipalities, about 49% of all jurisdictions in Wayne County).  * Wayne Regional Education Service Agency (17 school districts, 100% of all jurisdictions in Wayne County).  (5)  Transportation Corridors:  *  I-75 corridor (22 municipalities).  *  I-94 corridor (10 municipalities).  *  I-275 corridor (6 municipalities).  *  State Route 23 corridor (12 municipalities).  *  State Route 12 corridor (7 municipalities).  *  State Route 24/Telegraph Rd. (11 municipalities).  *  State Route 50 corridor (9 municipalities).  *  State Route 223 corridor (7 municipalities). "
85,plan,ush,,Fair US House plan (Jerry's revised),Keeping counties and school districts together is extremely important to ensure fair elections
86,plan,ush,"lenawee,jackson,monroe,hillsdale,st. joseph,branch,western washtenaw,river raisin watershed,region 2,agriculture,rural,border counties,calhoun",Rural Southern MI Congressional District,"My preferred district integrates various pre-existing factors which tie these areas together into a suggested congressional district . I live in rural Riga Township in southern Lenawee County. This community shares so many of the same cultural, economic, and even religious aspects as the other communities in this suggested district. Agriculture represents a major economic driver, along with many of similar industrial operations such as steel. Much of the rural and agricultural community shares similar values making it easy for elected officials to provide fair representation.    Most importantly, these counties already share many natural and community factors. The Region 2 Planning Commission represents a tri-county area consisting of Hillsdale, Lenawee, and Jackson. The Area Agency on Aging, which I have served on, represents these counties as well.  The River Raisin Watershed displays a natural boundary tying Jackson, Lenawee, and Monroe Counties through environmental shared interests.  Branch, Hillsdale, and St. Joseph County share many of these same interests, while also sharing a regional health department and would be a natural fit to adjoin the already existing relationship between Monroe, Jackson, and Lenawee. Similarly, western Washtenaw shares a makeup of towns and small cities just like the rest of the district and despite the county lines (which my map largely adheres to as to keep matters simple for voters), this area is more similar to the small towns in Jackson, Monroe, and Lenawee, rather than the major metropolitan areas in eastern Washtenaw like Ann Arbor and Ypsilanti.  Finally, this plan incorporates the interstate commerce and economic realities that border counties share.  "
87,plan,ush,"vra,majority-minority,southern michigan,border county district,lake st clair,grand rapids city,lansing,lenawee",Rural Southern MI and remaining CDs,"My husband, Bob, recently submitted a sample district for southern MI based on the communities of interest around us and our daily experiences living in Riga Township -- right on the border of Michigan-Ohio.  I drafted this complete congressional map with our community of interest , as well as other communities all across Michigan.  Living in Riga Township, a border county district makes all the sense in the world due to the health, environment, and economic factors we encounter in our daily life. In addition to this, I drew a map to include our current two ""majority-minority"" districts as to continue to keep the interests of the African American community of interest intact, especially after the events of 2020. I think it would be unfair to either lower the current threshold or eliminate a majority-minority district altogether.  Additionally, I kept other communities together such as Grand Rapids, a Lansing-centered district, an ""Up North"" district, a Lake Saint Clair & Thumb district, in addition to the metro Detroit seats.   Keeping the commission's criteria in mind, not only did I focus on communities of interest, but also kept in mind competitiveness of districts (7 districts are extremely competitive -- much more so than our current districts). While drafting, I also kept in mind township and county boundaries to help voters (and clerks!).  I also kept in mind succinctness of the district and with the exception of the majority-minority districts and their neighbors, these districts are visually appealing all with similar populations.  I believe this map checks  the boxes for all the criteria the commission is focused on. While the commission will not make everyone happy, this seems like a just map which accomplishes the goal defined in the Michigan Constitution. "
88,plan,ush,,Congress,Even things out!!!!
89,plan,senate,,Clean communities of interest,This map attempts to balance communities of interest with keeping cities and counties whole. It also has a clean appearance. 
90,plan,ush,,Jay Hoekstra’s US Rep District  v. 1,It is very difficult to balance both population and party distribution in some parts of the state.  I think the west side of Michigan should be together even though that necessitates the UP district going far down the east side of the state.  I pushed #1 even further south so Midlaand could be in the same district as Bay City and Saginaw.  I do not know how Detroit area should be divided. My version is a balanced guess.
91,plan,house,detroit9thhdmap,Roslyn's Detroit State House 9 Map Plan,My plan was based on the current line already in existent but expanding to ensure complete blocks and community stay connected not separated due to political agenda. 
92,plan,ush,"watersheds,river raisin watershed,huron river,ann arbor-ypsi metro,monroe,lenawee,hillsdale,jackson",Watershed Districts,"I am the Chairman of the Board of Directors for the River Raisin Watershed Council. I thank for the opportunity to write in to ask that you consider watersheds as a community of interest. Often, environmental and economic interests are very intertwined within specific watersheds so having representation accountable to specific watersheds will ensure  that unique needs are better met. If representation at the state and federal level meander across several watersheds, this will dilute our voice and the important work done in our community.  The River Raisin Watershed if about 1175 square miles -- roughly the size of Rhode Island. We contain around 429 lakes and ponds, and we contain 3000 miles of man-made drainage systems. We are comprised of pieces of Hillsdale, Jackson, Lenawee, Monroe, southern Washtenaw, and parts of Ohio. This is a majority rural-area and we work to increase awareness regarding agricultural practices that improve our ecosystem as well as advocate for legislation that may impact an area like ours.  We've worked hand-in-hand with farmers all along the watershed. Through their farmer initiative, they have made great strides in reducing phosphorous content of their fertilizer application and have done everything from building buffer zones which prevent runoff into the streams and the feeder creeks that go into the river. We're proud of the work we've been doing.  Nearby, the Huron River Watershed Council encompasses the Ann Arbor-Ypsilanti metropolitan area and they have their own unique watershed needs, which are very different from our needs. This community deals with issues stemming from urbanized areas -- very important work, but very different work from what we do and what our rural community needs.  Combining these two watersheds would be a disservice as it would dilute the voice of both of these important watershed communities so I ask the commission to keep these vital watersheds  in separate state and federal districts.  I have submitted two congressional district maps that will best follow the watersheds and areas of like-need in the southeast corner of the state. Thank you very much for your time and service."
93,plan,ush,,Pie slices,This method is an example of districts drawn with maximum distribution of Rural / Urban equity.
94,plan,senate,"lenawee,monroe",Monroe & Lenawee,"As a resident of Lenawee county and as an involved member of the community I feel strongly that the best representation for state senate in my area would be to elect a person from a district that is composed of Lenawee and Monroe counties. In my area there are many connections between the two counties that connect us economically and culturally. This region shares a state police post, family medical center, hospital system, United Way, and local media. With all of these things connecting us it would make no sense to divide up Senate representation."
95,plan,ush,"lenawee,monroe,hillsdale,branch,saint joseph,cass,berrien,van buren,border counties,border county district",Fair/Compact Map - Border County ,"My name is Juliana Moore, and I live in Adrian Township in Lenawee County. I previously wrote in explaining the linkage between Lenawee and Monroe counties (comment w316) but I have now drafted a complete congressional district map.  Border counties have a unique interest as states dealing with interstate economic issues. Many industries cross over and areas like Lenawee and Monroe may have more common with an area like Toledo, Ohio, than they may have with Detroit or Ann Arbor or Ypsilanti. As a member of Lenawee Health Network, another important link that border counties have is common is the influx of citizens of Ohio, crossing the border for Marijuana. As stated previously, LHN is concerned about the health of people in the county, and the struggles that people have with drug dependency, something that these other counties will battle as well. It is important to have representation that is able to recognize the unique battle that these border counties encounter.  The other districts were modeled after other maps I have seen in the portal and include two Voting Rights districts. The districts are compact and fairly competitive, but overall, the border county district makes the most sense to me and my map was built off of this district."
