,id,link,type,title,text,area_text,area_name,num_areas,city
24,140,https://districtr.org/COI/22831,coi,"Hyde Park, some Rockhill & Southmoreland","Hyde Park, plus Rockhill and Southmoreland neighborhoods north of  47th and east of Oak in order to include the census tract in which the southernmost part of Hyde Park is located, is a diverse community of older (100+ years) houses with some duplexes and apartments (many in tall buildings on Armour Blvd and some in smaller apt. buildings in north and south Hyde Park and Southmoreland).  Many of the apt. buildings on Armour Blvd were 100% Section 8 until Mac Properties started turning them into market rate apartments probably less than 10 years ago, and only two 100% Section 8 buildings remain.  Mac is building 3 new apt. buildings on Armour (also market rate), and there is already not enough off-street parking.  Although a nursing home and a group home for people with developmental disabilities have been returned to large single family homes in the last several years, there are still houses and buildings that serve as transitional housing for people in substance abuse recovery, families experiencing homelessness, and people with mental health concerns.  There are 3 liberal mainline Protestant Churches, two of which provide office space for worker's rights nonprofit organizations, and all three provide services to low income people in the community and also welcome people who identify as LGBT.  Al-Inshirah Islamic Center is in this community.  Kansas City Public Schools are improving, but that's not well known, and charter and private schools still draw students away from KCPS.  Academie Lafayette French Immersion Charter School and Notre Dame de Sion Lower School are in the community.  The Nelson Atkins Museum of Art is in the generally affluent Rockhill neighborhood.  Houses in North and South Hyde Park and Southmoreland seem to be increasingly owner-occupied and more families with young children seem to be living in the neighborhoods.  Although housing prices are going up, homes in the area are still significantly less expensive than parts of Kansas City to the southwest.  60% of housing is renter-occupied.   2% of resdients have identified as Asian, 3% as more than one race, 8% as Hispanic, 30% as black, and 57% as white. Median income is  about $50,000.  Residents generally support expanding access to health care and the rights of workers, women, people with disabilities, and members of ethnic and racial minority groups.  LGBT homeowners and immigrants have been welcome in the community for decades. The community is located on the historically white side of the (artificially created) dividing line between black and white Kansas City--Troost Avenue, but the divide is being broken down.  ","This community has mostly older houses (100+ years). ""Urban pioneers"" moved to Central Hyde Park (Armour to 39th) in the '70s and rehabbed houses, returning houses that had been divided into apartments after WWII back into single family homes.  The neighborhood association became hyper vigilant about ""density,"" but there have always been apartments and duplexes throughout Hyde Park, mostly in North and South Hyde Park. In the last decade or so more houses in N and S Hyde Park seem to have become owner-occupied, and more have small children.  Historically, real estate agents steered home buyers away, citing Public School challenges and bias against ""Midtown,"" code for black and lower income people in the neighborhoods or nearby.  Housing prices are increasing.  Armour Blvd had many 100% Section 8 apartment buildings in the '80s, now all but 2 are market rate, as Mac Properties has invested heavily. A new large apartment building is about to open on Armour Blvd. and three more apartment buildings are being built on Armour Blvd and Troost. All of these are market rate rentals, and there's already a parking shortage for existing Armour Blvd. apartment dwellers).  Crime at Armour and Troost, and west to Gillham, has been problematic but seems to be improving in recent years. The neighborhoods have been welcoming to LGBT people for decades and homeowning neighbors have taken pride in being a diverse community that welcomes people of color and immigrants. Residents are generally politically liberal, in terms of supporting health care and the rights of workers, women, racial minorities.  Rockhill north of 47th was put in this community due to census tracts;  it's a generally affluent neighborhood in which the Nelson Atkins Museum of Art is located.  Part of Southmoreland is also in this community;  also old homes, many rehabbed in recent years. ",Hyde Park and parts of Rockhill and Southmoreland North of 47th and east of Oak,1,Jackson
25,139,https://districtr.org/COI/22878,coi,University City Eruv,An eruv is a symbolic enclosure that surrounds the Jewish community.,An eruv is a symbolic enclosure that surrounds the Jewish community.,University City Eruv,1,St. Louis
26,137,https://districtr.org/COI/22939,coi,Columbia-Old SW,"This is a community of families who care about their neighborhood (several neighborhood associations), education and schools, hospitals and health care. The community is involved in government at the local, state, and federal levels and votes at a high rate.","This is a community of families who care about their neighborhood (several neighborhood associations),  education and schools, hospitals and health care. The community is involved in government at the local, state, and federal levels and votes at a high rate.",Columbia-Old SW,1,Columbia
27,136,https://districtr.org/COI/22940,coi,Blue Springs Lees Summit Indep KC crssrd,An area in the Kansas City Metro where four cities meet around main highway and shopping. A mix of middle income homeowners and renters. There is a higher percentage of hispanic voters than Missouri overall.,An area in the Kansas City Metro where four cities meet around main highway and shopping. A mix of middle income homeowners and renters. There is a higher percentage of hispanic voters than Missouri overall.,"Blue Springs, Lees Summit, Indep, KC crossroad",1,Independence
28,135,https://districtr.org/COI/23356,coi,Westside North KC,"The North End of the historic Westside neighborhood in KCMO. Common interests include concerns around safety, homelessness, and neighborhood preservation. Of the entire Westside, this area has experienced the most gentrification, bringing some unique issues to the table. Short term rentals, preserving the neighborhood environment, rising taxes, etc. Tends to skew higher income than the rest of the Westside with higher population of white Americans as well.",The North End of the historic Westside neighborhood in KCMO,Westside North,1,Kansas City
29,133,https://districtr.org/COI/23652,coi,Greater Sullivan Area,"This is the area of the city of Sullivan and the surrounding areas that are centered around Sullivan High School. The high school services 3 k-8 schools in the area. People in this area also often interact with organizations and businesses in the city of Sullivan. This creates common interests in terms of education policy, city infrastructure, and economic development. The area is primarily composed of long term farmers and property owners, and also commuters to the city of St. Louis. ","This is the area of the city of Sullivan and the surrounding areas that are centered around Sullivan High School. The high school services 3 k-8 schools in the area. People in this area also often interact with organizations and businesses in the city of Sullivan. This creates common interests in terms of education policy, city infrastructure, and economic development. The area is primarily composed of long term farmers and property owners, and also commuters to the city of St. Louis. ",Greater Sullivan Area,1,Sullivan
30,132,https://districtr.org/COI/23906,coi,St Louis Region - Race & Ethnicity,"St Louis Region - Race, Ethnicity & School Districts","Multi Ethnic
",St Louis,1,St Louis
31,131,https://districtr.org/COI/24118,coi,"Rural Franklin, Jefferson, Washington Co","Rural section of SE Franklin County, SW Jefferson County, & N Washington County. Mostly farms & owner-occupied single family homes. Mostly white Voting Age Population. Median income $40-45k. ","Rural section of SE Franklin County, SW Jefferson County, & N Washington County. Mostly farms & owner-occupied single family homes. Mostly white Voting Age Population. Median income $40-45k. ","Rural Franklin, Jefferson, Washington Counties",1,Lonedell
32,38,https://districtr.org/COI/24216,coi,Kribs Southmoreland Community Highlights,"We are a family with 2 young kids, so we marked the places that we frequent or that affect us most significantly.","A community with a diverse array of housing types (rental apartments, condos, single family houses, large historic houses), green spaces, artistic centers, and some businesses. The population seems to range from unhoused, struggling young people to wealthy professionals, with every category in between.",Southmoreland,1,Kansas City
33,130,https://districtr.org/COI/24693,coi,Southwest Kansas City,"This map includes an area of 33,590 residents who mostly share community interests. I believe the wealthiest and least wealthy people on the map would have a community issue to discuss if they struck up a conversation in the grocery store.","This community of 33.590, which includes a mix of retirees, families with children and young professionals, prides itself on home ownership and beautification and strong public involvement. While rental properties are concentrated in the southern tracts, my canvassing makes it clear that the renters share community interests. They include close attention  to state and local issues, as evidenced by strong turnouts at town hall and community meetings hosted by elected officials and community leaders. Infrastructure is a major issue because broken sidewalks or no sidewalks proliferate, and potholes appear regularly on the streets. There is intense interest in public, charter and private education and close attention to the Kansas City Public School District, even from neighbors who don't have children there. A committed group of parents worked hard for the reopening of a public K-5 school a few years ago and it has been a huge success. There is strong advocacy for good public transit and strong support for the extension of the downtown trolley line, which will now extend to the University of Missouri-Kansas City. Many educators and graduates of this this four-year school live in the community. The Trolley Trail, which runs the length of the map, is popular among runners, joggers, walkers, bicyclists and dog walkers. Faith is important as houses of worship of several religions and denominations are represented.  Residents would like the state Legislature to be more considerate of urban problems, such as gun violence, health care, lack of affordable housing and the need for local control of the Kansas City Police Department.  ",Southwest Kansas City,1,"Kansas City, MO"
34,57,https://districtr.org/COI/24822,coi,Roanoke Neighborhood,"Historic neighborhood 77% white professional (lawyers, MD, architects), family-oriented Approx 100 homes, single family (per covenant) Long term residents (30+ years) Socially and politically active, community-oriented, strong neighborhood traditions with numerous annual events","Historic neighborhood
77% white professional (lawyers, MD, architects), family-oriented
Approx 100 homes, single family (per covenant)
Long term residents (30+ years)
Socially and politically active, community-oriented, strong neighborhood traditions with numerous annual events",Roanoke Neighborhood,1,Kansas City
35,58,https://districtr.org/COI/24823,coi,Coleman-Highlands,"Established neighborhood with mixed age housing Majority white and hispanic families More than 90% owner-occupied homes Long term residents  Socially and politically active, community-oriented, strong neighborhood traditions ","Established neighborhood with mixed age housing
Majority white and hispanic families
More than 90% owner-occupied homes
Long term residents 
Socially and politically active, community-oriented, strong neighborhood traditions ",Coleman-Highlands,1,Kansas City
36,59,https://districtr.org/COI/24824,coi,Valentine Neighborhood,"Established neighborhood with some historic homes and some newly re-purposed (ie Norman School is now apts) Majority white (67%), some black (17%) and hispanic (11%) families More than 80% rental properties Socially and politically active, community-oriented, strong neighborhood traditions ","Established neighborhood with some historic homes and some newly re-purposed (ie Norman School is now apts)
Majority white (67%), some black (17%) and hispanic (11%) families
More than 80% rental properties
Socially and politically active, community-oriented, strong neighborhood traditions ",Valentine Neighborhood,1,Kansas City
37,65,https://districtr.org/COI/24982,coi,schools sports work and travel,This more real of the communties that are in work travel shopping and school sports. ,common sports regions for schools as well as work travel and shopping,everyday places,1,Houstonia
38,129,https://districtr.org/COI/24986,coi,Old Main Street St. Charles,"Businesses here, some live & work in the same space.  Tourist dollars very important to this area but also all the activities wear on residents.  Older homes many historic in nature. ","Businesses here, some live & work in the same space.  Tourist dollars very important to this area but also all the activities wear on residents.  Older homes many historic in nature.  ",Old Main Street St. Charles,1,FORISTELL
40,128,https://districtr.org/COI/25408,coi,Greater South County Area,"This map includes the 116,000 residents of the Greater South County area who share a lot of commonalities. They share neighboring school districts which gives them a shared interest in the education of their children. The majority of the residents are working middle class homeowners which gives them the same sort of economic issues to deal with. They also share the experience of being close to both the St Louis metro area and a variety of rich Missouri natural areas which lends a unique experience of a snapshot of everything Missouri has to offer.","This map includes the 116,000 residents of the Greater South County area who share a lot of commonalities. They share neighboring school districts which gives them a shared interest in the education of their children. The majority of the residents are working middle class homeowners which gives them the same sort of economic issues to deal with. They also share the experience of being close to both the St Louis metro area and a variety of rich Missouri natural areas which lends a unique experience of a snapshot of everything Missouri has to offer. ",Greater South County Area,1,Affton
41,103,https://districtr.org/COI/25506,coi,Northland KC BurlingtonCreek,Northland KC  - west of I-29 along the 64th street corridor ,Middle class families; majority Caucasian; work outside their home base; conservative. concerned about schools; infrastructure; lots of new housing being built for the increase in population that is occurring. Lots of new younger folks/families moving into the area.  The convening place is church; kids sports. ,KC North - Northwest Prairie View Dr/Burlington Creek,1,KC Platte County 
43,113,https://districtr.org/COI/25651,coi,West Central Springfield,"a local brewery, restaurants, bars; high number of rentals due to downtown area and proximity to Missouri State University; McGregor Elementary; Campbell Early Childhood Center; a large number of vacant and nuisance properties; lack of available affordable housing; West Central Neighborhood Association; poverty an issue","Downtown Springfield; Lots of local shops, a local brewery, restaurants, bars; high number of rentals due to downtown area and proximity to Missouri State University; McGregor Elementary; Campbell Early Childhood Center; a large number of vacant and nuisance properties; lack of available affordable housing; West Central Neighborhood Association; poverty an issue",West Central Springfield,1,Springfield
44,164,https://districtr.org/COI/25986,coi,City of Hazelwood,"Currently served by three different fire departments, in discussions about how to proceed in future","Currently served by three different fire districts, in discussions about whether this continues in future",City of Hazelwood,1,
45,167,https://districtr.org/COI/26069,coi,"Springfield, Mo College Community","This is the area of Springfield, MO that houses the three largest college campuses. There is housing and shopping all directed towards college students here. ","This is the area the represents the college campuses in Springfield, MO. This area has large apartment complexes, shops, and stores directed at college students. ",College Community,1,Springfield
46,168,https://districtr.org/COI/26074,coi,"Medical Mile - Springfield, MO",This area is referred to as the Medical Mile in Springfield. This stretch of community is where the two largest hospitals and their smaller clinics also reside providing patients access to all aspects of medical care. ,This area is referred to as the Medical Mile in Springfield. This stretch of community is where the two largest hospitals and their smaller clinics also reside providing patients access to all aspects of medical care. ,Medical Mile,1,
47,190,https://districtr.org/COI/26144,coi,South Center City Springfield,"This community contains Missouri State University campus to the North and Mercy Hospital to the east.  The community consists of middle to lower middle class single home dwellings, senior citizens to young families, student housing and apartment complexes.  Common concerns consist of student housing, crowded streets, narrow streets , and traffic problems.","This community contains Missouri State University campus to the North and Mercy Hospital to the east.  The community consists of middle to lower middle class single home dwellings, student housing and apartment complexes.  Common concerns consist of student housing, crowded streets, narrow streets , and traffic problems.",South Center City Springfield,1,Springfield
48,191,https://districtr.org/COI/26149,coi,Retired and Working Seniors,"Retired community, working seniors, downsizing, affordable rent, access to healthcare, access to public transportation, accessible housing",,Community 1,1,Springfield
49,193,https://districtr.org/COI/26154,coi,Greater Nixa,"Greater Nixa is anchored by an outstanding public school system, which is the focus of my map.","There's strong support for Nixa's public school district; bond issues as well as tax levies are consistently successful. School system attracts quality teachers, board of education has won several statewide awards for its leadership. Nixa was formerly a sleepy, small town but for last 35 years has grown to a mix of ""hometowners"" and people who work in Springfield, about nine miles to the north. This growth is due to excellent public schools and rapid housing development  In the 1990s Nixa school district was fastest growing school district in Missouri. Today, growth has slowed a bit--but not much. City government has been future oriented: Nixa Public Building Corporation was established about 1990 to issue bonds for a much-needed new City Hall; a fee was created whereby landlords pay for a city inspection each time the tenant changes making sure the rental is safe and meets building codes; Nixa City Council imposed a facial mask requirement during Covid that withstood some public opposition. County government has a history of cooperation with Nixa, one of the two largest cities in the county, especially in the area of economic development. City of Nixa has successfully courted gigabit speed internet for residents and business. The City purchases power from a 72-acre solar farm constructed in 2017. Nixa struggles to attract new business though a newly reenergized Chamber of Commerce is helping. The Nixa region considers itself autonomous in spite of its dependence on Springfield and Greene County for health care, higher education and entertainment. Residents of the Nixa region are proud to be Christian Countians. In spite of progressive accomplishments, residents are solidly conservative in politics and most are likely church-goers who declare as Christians.",Greater Nixa,1,Nixa/Christian
50,210,https://districtr.org/COI/26536,coi,Southwest Kansas City,"This part of southwest Kansas City includes quiet neighborhoods with ranch-style homes, an increasing number of apartments, shopping areas and Burns&McDonnell global engineering company. Bordered by I-435 on the south, State Line Road on the West, Holmes on the east and 85th Street on the north. It seems to be transitioning from an older population of home-owners to younger and more diverse owners and renters. ","This part of southwest Kansas City includes quiet neighborhoods with ranch-style homes, an increasing number of apartments, shopping areas and Burns&McDonnell global engineering company. Bordered by I-435 on the south, State Line Road on the West, Holmes on the east and 85th Street on the north.
It seems to be transitioning from an older population of home-owners to younger and more diverse owners and renters. ",Southwest Kansas City,1,Kansas City
51,211,https://districtr.org/COI/26571,coi,Shawnee park ,,People who used and work at St. Francis Medical Center.,St. Francis medical center,1,Cape Girardeau
52,212,https://districtr.org/COI/26571,coi,st Francis medical center,very influential community,People who used and work at St. Francis Medical Center.,St. Francis medical center,1,Cape Girardeau
53,213,https://districtr.org/COI/26574,coi,Severe earthquake danger to residences,,This area is especially vulnerable to earthquake damage but neither the city nor the state has in place any program to help people retrofit their homes for seismic resistance.  It is not only older homes that are inadequate.  The city of Cape Girardeau exempts new residential building from the construction standards which are meant for regions of high seismic risk such as ours.,Highly endangered in case of earthquake,1,"City of Cape Girardeau, Cape Girardeau County "
54,215,https://districtr.org/COI/26577,coi,North Cape,"People who use trails, fitness center, ","people who use trails, fitness center,  restaurants, banks",county park,1,Cape  Girardeau
55,214,https://districtr.org/COI/26578,coi,CDurgan lower income cape,Rented homes and lower income area,People with low income and high percentage of families in rented homes,Lower-income Cape,1,Cape Girardeau
56,218,https://districtr.org/COI/26658,coi,West Plains R7 School District,These are the people who are affected by the level of school funding in the West Plains R7 school district. People don't want to approve a local tax increase for the school district because of their economic circumstances. This is the largest population grouping in the county.  The income is relatively high for the area.,These are the people who are affected by the level of school funding in the West Plains R7 school district. People don't want to approve a local tax increase for the school district because of their economic circumstances. This is the largest population grouping in the county.  The income is relatively high for the area.,West Plains R7 School District,1,"West Plains, Howell County"
57,220,https://districtr.org/COI/26662,coi,Good Samaritan Care Clinic,"Since the Missouri legislature refused to implement Medicaid expansion, people continue to rely on free medical and dental care at Good Samaritan Care Clinic.","Since Republicans blocked Medicaid Expansion against voter wishes, this community is people who might rely on the Good Samaritan Care Clinic in Mountain View Missouri for some semblance of health care. ",Good Samaritan Care Clinic,1,WillowSprings
58,227,https://districtr.org/COI/26662,coi,Low-Income Rural School Districts,School districts that border Arkansas where people struggle to survive from day-to-day.,"Since Republicans blocked Medicaid Expansion against voter wishes, this community is people who might rely on the Good Samaritan Care Clinic in Mountain View Missouri for some semblance of health care. ",Good Samaritan Care Clinic,1,"West Plains, Howell County"
59,223,https://districtr.org/COI/26669,coi,Douglas and no. Howell County,community of people with limited access to health care,health care access ,Douglas and no. Howell,1,Willow Springs
60,226,https://districtr.org/COI/26672,coi,"Outfitters, campgrounds, hunting tourism","The watersheds of the Bryant Creek and Northfork River are side by side and filled with horsetrails, hiking trails, floatable rivers, fishing, campgrounds and cabins  - all sources of income. The owners of these businesses often work together as needed.","The Northfork River and the Bryant Creek Watersheds are side by side and much the same in area. In our Karst topography, the Bryant is a losing stream, while the Northfork is fed by many springs. There are multiple outfitters, trout fishing, campgrounds, hiking and horseback trails including the Ozark Trail. In fall and spring,  hunters fill the woods.",River and camping tourism,1,West Plains
61,221,https://districtr.org/COI/26673,coi,West Plains Area,Lower income area of West Plains,Highlights generally older houses and properties.,Lower Income Residences in West Plains,1,West Plains
63,222,https://districtr.org/COI/26676,coi,Rural Riverways 1,"This community includes land owners who have property along sections of  the Current, Jack's Fork, and Eleven Point Riverways. They share common issues related to land ownership and regulations by the Mo Department of Conservation, the National Park Service, and the US Forest Service. This community is also impacted by Tourism. ","This community includes land owners who have property along sections of  the Current, Jack's Fork, and Eleven Point Riverways. They share common issues related to land ownership and regulations by the Mo Department of Conservation, the National Park Service, and the US Forest Service. This community is also impacted by Tourism. ",Rural Riverways 1,1,Willow Springs
64,224,https://districtr.org/COI/26677,coi,Cattle farming area of S Central Mo,,Family owned cattle farm operations,Cattle farming,1,Howell co
65,228,https://districtr.org/COI/26694,coi,"Springfield, MO Galloway Trail Community",Galloway Creek and adjacent Galloway Trail are features that bring surrounding blocks together both to socialize as community and to fight common issues. ,"Southeast Springfield surrounding Galloway Trail including Glendale High School, Pershing Elementary and Middle School, Wilder Elem School, and Sequiota Elem School. Many in the neighborhood have a strong interest in walking , running, bicycling, nature, and community preservation and/or sustainability. Twice the neighborhood has sought to prevent development, once by purchasing a vacant tract adjacent to the trail and recently by petitioning an election to overturn a zoning decision (which the court said is unconstitutional). The neighborhood is primarily single family residences, some nearly a century old and most in subdivisions from 1955 to present surrounded by commercial and multifamily properties along Sunshine Street, Battlefield Road, Glenstone Avenue, and US Highway 65 freeway. In the center of the community is a quarry and adjacent industrial area that in the past included agricultural lime manufacturing, a concrete plant,  and a concrete vault manufacturer. 
Adjacent to the quarry is Sequiota Spring and Park and Galloway Village, both stops on the Chadwick Flyer railroad active from about 1910 to 2010. In the last 10 years much of the industrial land has become neighborhood commercial and multifamily residential which is a community center for many and an invasion of traffic and ""renters"" into the peaceful neighborhood for others. The occupancy rate for both commercial and residential properties remains high and new businesses increase the variety and community gathering places available in the neighborhood.",Galloway Trail,1,Springfield
66,229,https://districtr.org/COI/26696,coi,Hospitals that closed in southeast MO,Hospitals that closed causing the loss of jobs as well as access local access to healthcare.,Hospitals that have closed in Rural counties of South East Missouri,Verna Fuller,1,Willow Springs
67,230,https://districtr.org/COI/26700,coi,MUNCH food pantry,MUNCH provides low income families and individuals with allotment of food.  Volunteers from the community work together to help out. ,Low income individuals and families living in Howell county who depend on monthly allotments of food from the MUNCH food pantry in Willow Springs.  Changes to funding by the state and federal government could affect the program.  ,MUNCH Food pantry,1,Willow Springs
68,232,https://districtr.org/COI/26737,coi,St. Louis Neighborhood,,"We love our community because our community is uniquely diverse.  We have residents with varying levels of income and who share different racial and ethnic backgrounds.  We come together in our beautiful parks, educational and cultural institutions, irrespective of age, ethnicity, who we love or the different array of beautiful homes in which we reside.  Prior to the pandemic, we had many opportunities for work, for small and medium-sized businesses and for entertainment.  Post-pandemic, and with the lessons learned, we expect to improve upon our previous successes.  Visitors are welcome, we thrive both professionally and socially, and we work closely in many different organizations to help each other and to resolve our socio-economic and public safety issues.  But we know that we still have a lot of work to do, so it is our desire that our community remain intact.  ",St. Louis Neighborhood,1,St Louis
69,235,https://districtr.org/COI/26738,coi,Seminole-Holland Neighborhood Area,One of 34 Neighborhood service areas in as defined by the Springfield Vision 2020 process.  ,One of 34 Neighborhood service areas in as defined by the Springfield Vision 2020 process.  ,Seminole-Holland Neighborhood Service Area,1,Springfield/Greene County
70,247,https://districtr.org/COI/26770,coi,Volker/Mellier Place,"Volker, its surrounding neighborhoods including 39th Street Restaurant District, Westport, and across the state line - Kansas University Hospital system. Historically, a working class neighborhood with older homes and apartments, and populated with diverse, old and young people. We care about city history and the older buildings in our district. Access to I-35 is a major traffic flow, on older streets. Both the restaurant district and the freeway, mean many non-residents travel regularly through the neighborhood. Many traffic calming efforts are underway - not very attractive to longer-term residents. There has a been a rash of rapid-built 5 over 1 buildings that are not a fit for the neighborhood - longer residents and home owners don’t care for them as they are changing the face of the neighborhood. Has a hidden wooded trail, and the neighborhood has a lot of walkers and dogs. Common interests include walking, patronizing non-chain stores/restaurants, and the arts. ","Volker, its surrounding neighborhoods including 39th Street Restaurant District, Westport, and across the state line - Kansas University Hospital system. Historically, a working class neighborhood with older homes and apartments, and populated with diverse, old and young people. We care about city history and the older buildings in our district. Access to I-35 is a major traffic flow, on older streets. Both the restaurant district and the freeway, mean many non-residents travel regularly through the neighborhood. Many traffic calming efforts are underway - not very attractive to longer-term residents. There has a been a rash of rapid-built 5 over 1 buildings that are not a fit for the neighborhood - longer residents and home owners don’t care for them as they are changing the face of the neighborhood. Has a hidden wooded trail, and the neighborhood has a lot of walkers and dogs. Common interests include walking, patronizing non-chain stores/restaurants, and the arts. 

#HAP (Heartland Alliance for Progress) ",Volker/Mellier Place,1,Kansas City/Jackson County
71,250,https://districtr.org/COI/26783,coi,BroadScott,BroadScott community is a single-family residential area with young families up to retirees that is located is a newly developing area of town. Limited access to major traffic arteries.,"Residential, similarly priced single-family homes, young families to retirees. Professionals. Limited access to major highways.",BroadScott,1,"Columbia,MO"
72,253,https://districtr.org/COI/26830,coi,Single Parent Households,"Single mothers, young kids, pre-K-12. Most likely on support, including Salvation Army and the food bank. Also often asking for help on Facebook.","Single mothers, young kids, pre-K-12. Most likely on support, including Salvation Army and the food bank. Also often asking for help on Facebook.",Single Parent Households,1,"Bolivar, Polk County"
