,id,link,type,pseudo_coi,title,text,area_text,area_name,num_areas,city
40,1077,https://districtr.org/coi/12307,coi,,OEC-Maggie-SoHud,,"On the outer edge of OSU campus housing. Majority young adults and renters. This is mostly a residential area, there are some bars, convivence stores, and green space in Iuka Ravine. On the corner of Summit and Hudson there is a SoHud mural, and an empty lot where flea markets and food trucks often show up in the warmer months. 

Important issues: Community members often discuss cars speeding on Fourth Street and Summit. Also parking, as many buildings house 4-6 roommates each with their own car, so street parking can be scarce. ",OEC-Maggie-SoHud,1,
41,2494,https://districtr.org/COI/12309,coi,,OEC-Maggie-Arcanum,,"Rural town in Darke County Ohio. Extremely white. Mainly homeowners, very few renters. Mainly old people and families. Mostly residential - a few businesses, but many have closed over the past 5 years. ",OEC-Maggie-Arcanum,1,
42,2493,https://districtr.org/COI/12310,coi,,OEC-Maggie-SoHud,,"On the outer edge of OSU campus housing. Majority young adults and renters. This is mostly a residential area, there are some bars, convivence stores, and green space in Iuka Ravine. On the corner of Summit and Hudson there is a SoHud mural, and an empty lot where flea markets and food trucks often show up in the warmer months. 

Important issues: Community members often discuss cars speeding on Fourth Street and Summit. Also parking, as many buildings house 4-6 roommates each with their own car, so street parking can be scarce. ",OEC-Maggie-SoHud,1,
44,716,https://districtr.org/coi/12449,coi,,Community 1- Clev Hts.,,Small town feel,Community 1- Clev Hts.,1,
46,724,https://districtr.org/coi/12578,coi,,"franklinton, arts district",,"*franklinton, arts district",Community 1,1,
47,1078,https://districtr.org/coi/12662,coi,,Hilltop,,"Mostly lower-income, mostly renters. African American. A larger Latinx community in this area. Lots of families. West High School and Westgate Park are central locations. 

No grocery store in this area, though lots of corner stores. People who live here are worried about drugs/crime. ",Hilltop,1,
48,2492,https://districtr.org/COI/12663,coi,,OEC-Hilltop-Trecia,,"Mostly lower-income, mostly renters. African American. A larger Latinx community in this area. Lots of families. West High School and Westgate Park are central locations. 

No grocery store in this area, though lots of corner stores. People who live here are worried about drugs/crime. ",Hilltop,1,
49,1079,https://districtr.org/coi/12665,coi,,Northland Portion,,"Part of Northland. Highlighted region includes many people of color, immigrants (many Bhutanese-Nepali & Somali individuals), and working-class individuals.

Area around Kingshill Dr. has crime. 

71 highway acts as a divider. Eastside of 71 is inhabited by people of color and immigrants. Westside has more white people. ",Northland Portion,1,
50,739,https://districtr.org/coi/12676,coi,,College Hill,,"The area known as College Hill, as experienced on foot and by car.",College Hill,1,
52,2491,https://districtr.org/COI/12680,coi,,OEC-Evan-UC,,"Primarily student housing, mostly renters. Surrounded by lower-income residencies. 

Can be some friction between renters and landlords.",University of Cincinnati,1,
53,741,https://districtr.org/coi/12682,coi,,The Greater Kettering Area,,"The community cares about green spaces/community spaces/ parks like Lincoln Park & Delco Park

Town & Country is a popular shopping strip
",The Greater Kettering Area,1,
54,2490,https://districtr.org/COI/12684,coi,,OEC-Melanie-Grandview,,"Predominantly white, recently affluent.

TIght-knit community, great schools, very walkable community. 

Well-known commerce strip.",Grandview Heights,1,
55,2489,https://districtr.org/COI/12685,coi,,OEC-Amber-Wooster,,"Diversity with the college campus, slightly older population overall, except for the college students. 

Divide between students and residents. Difference between the issues that are worried about. ",Wooster,1,
56,759,https://districtr.org/coi/12780,coi,,Near East Side (NES),,"Just to the East of Downtown Columbus, established just outside the City’s original 1812 boundaries, the Near East was a prestigious and wealthy community, containing many large and luxurious homes, successful businesses, and a thriving artist community. By the 1920s the Near East area had developed its own identity and a collection of unique neighborhoods filled with stores, theatres, offices, restaurants, and numerous clubs and lounges featuring jazz music. It is home to an eclectic mixture of exquisite architecture including Colonial, Federal, Arts and Crafts, Victorian, Tudor, Mission, Dutch Colonial, Colonial Revival, Greek Revival, Georgian Colonial, French Eclectic, American Foursquare and Cape Cod.

The Near East is home to two elementary schools, Eastgate Elementary and Beatty Park Elementary; two middle schools, Champion Middle and United Schools Network charter school Columbus Collegiate Academy; and one high school, East High School. 

Two of the most dramatic events in the Near East were the construction of the interstate highways in the 1960s; Interstate 71 North and South, and Interstate 70 East and West which segregated the community (both physically and economically) from the rest of downtown.

The City of Columbus has designated the Near East Side as a Community Reinvestment Area as of 2001.

30% of homes are unoccupied. Nearly 70% of the units in the Near East are Renter Occupied. 

Concerns and Issues:
Historic and Cultural Preservation
Affordable Housing and Rent Stability
Crime and Drug Use
Police Response and Accountability
Wealth Disparity and Racial Justice",Near East Side (NES),1,
57,2488,https://districtr.org/COI/12847,coi,,OOC,,"There is no full grocery store close in my community. Our folks have to go Acme is on East Ave,  which you cannot walk to. You need to drive, catch the bus (it takes two buses), or catch a  cab to get to this grocery store.  

Families and older people live here. Not many single folks live here. Most folks own their homes, but there are still a good amount of folks who rent. 

Most people who live here are Black/African-Americans who are working class and barely are above the poverty line, financially. 
",BDS_West Side Akron,1,
58,774,https://districtr.org/coi/12958,coi,,OEC - Max - East Side of Lorain,,"The East Side is the section of the city East/North of the Black River and North of the Steel Mill.

It is largely residential, with one major industrial park. It is also home to one of our larger marinas in the city. ",OEC - Max - East Side of Lorain,1,
59,776,https://districtr.org/coi/12980,coi,,Downtown xenia,,"small biz like shoe shops, and a bunch of fast food restaurants, nothing particularly interesting on main street.
Some businesses have apartments above them, but not many.  
Shawnee Park is the main green space in town. 
Main street, third street area has gov buildings and older historic houses. 
main street to third street is the lower income area, water street and main tends to be higher income. Xenia is primarily white. The East side of downtown is where most of the Black population of Xenia lives. 
Top two concerns of people in this area are likely concerns of quality of the schools, and lack of recreational businesses in the area. The biggest store in the area is a super walmart, there's not a lot for people to do in town. Some residents don't want to add recreational businesses in town. Heard that Xenia used to be a safe haven for the Black community in Ohio. ",Downtown xenia,1,
60,777,https://districtr.org/coi/12983,coi,,Downtown Coshocton,,"Rural community.
Majority white, older and family aged.
Lower-middle class area
Lots of chain bushiness, and smaller businesses that don't get visited as often
3 grocery stores, 1 being on the wealthier side
Lack of activities (movie theatre, bowling alley)
Heavy traffic in downtown business area",Downtown Coshocton,1,
61,781,https://districtr.org/coi/13056,coi,,Mason/West Chester,,Northern suburb of Cincinnati; upper middle class community with appeal of strong performing schools; appeals to and caters to families; mix of small businesses and national chain stores and restaurants; predominantly white but growing and becoming more diverse; corporate transfers frequently purchase homes in this area,Mason/West Chester,1,
62,782,https://districtr.org/coi/13059,coi,,Cumberland,,"The Village of Cumberland and the areas that are part of its community--where the people work, shop and go to school",Cumberland,1,
63,783,https://districtr.org/coi/13060,coi,,The Greater Kettering Area,,"The community cares about green spaces/community spaces/ parks like Lincoln Park & Delco Park

Town & Country is a popular shopping strip
",The Greater Kettering Area,1,
65,786,https://districtr.org/coi/13067,coi,,Sycamore Community Schools,,Four communities tied together by same school system,Sycamore Community Schools,1,
66,2487,https://districtr.org/COI/13068,coi,,RWB,,"Northern suburb of Cincinnati; upper middle class community with appeal of strong performing schools; appeals to and caters to families; mix of small businesses and national chain stores and restaurants; predominantly white but growing and becoming more diverse; corporate transfers frequently purchase homes in this area

Touching two counties: Butler & Warren County 

This community primarily shop in  Butler County. ",Mason/West Chester,1,
67,1055,https://districtr.org/coi/13069,coi,,BDS_West Side Akron,,"There is no full grocery store close in my community. Our folks have to go Acme is on East Ave,  which you cannot walk to. You need to drive, catch the bus (it takes two buses), or catch a  cab to get to this grocery store.  

Families and older people live here. Not many single folks live here. Most folks own their homes, but there are still a good amount of folks who rent. 

Most people who live here are Black/African-Americans who are working class and barely are above the poverty line, financially. 
",BDS_West Side Akron,1,
68,2486,https://districtr.org/COI/13073,coi,,FOF,,"small biz like shoe shops, and a bunch of fast food restaurants, nothing particularly interesting on main street.
Some businesses have apartments above them, but not many.  
Shawnee Park is the main green space in town. 
Main street, third street area has gov buildings and older historic houses. 
main street to third street is the lower income area, water street and main tends to be higher income. Xenia is primarily white. The East side of downtown is where most of the Black population of Xenia lives. 
Top two concerns of people in this area are likely concerns of quality of the schools, and lack of recreational businesses in the area. The biggest store in the area is a super walmart, there's not a lot for people to do in town. Some residents don't want to add recreational businesses in town. Heard that Xenia used to be a safe haven for the Black community in Ohio. 

Xenia is more diverse than Ohio. 

Used to be a safe place for the Black community. ",Downtown xenia,1,
71,1060,https://districtr.org/coi/13115,coi,,Northside Cincinnati,,"Known as the gay district of Cincinnati, very lgbtq friendly. Historically where the lgbtq center was located in Cincinnati. Often described as the hipster district, electic parades. Old interesting architecture. 
3 miles from UC, some college students. Lots of young professionals, in 20s and 30s and lots of older residents that have been there a long time, 
Lots of locally owned businesses, against having chains in the area. Struggling white castles and taco bell. 

Primary resident concerns: pedestrian safety, developers targeting the area to build unaffordable housing. Lots of homeowners, some renters. 

Some high rise apartments and condos that are rentals - from big developers that are tearing down the history. Northsiders want community development, but they want it to benefit the community. 

Lack of a grocery store! There is a pantry on Hamilton ave with quick food, but you have to drive to a grocery store. 

Lots of people using public transportation and lack of a grocery store. ",Northside Cincinnati,1,
72,797,https://districtr.org/coi/13129,coi,,"Community 1  Madeira, Blue Ash, Indian H",,"Northeast suburbs of Hamilton County and eastern part of City of Cincinnati.  These communities have schools that play each other in the same sports leagues in all grades.  People shop and work in mini cities of Kenwood and Blue Ash from all these communities.  Within the I-275 range communities, these suburbs all depend on each other for businesses, entertainment, parks, and residential schools.  There are several different economic levels but all of them are middle class to upper class.  The east side of Hamilton County has a different personality than the west side or Cincinnati itself.  There is more religious diversity, Republican and Democrats are somewhat equal (it would be competitive), more transplants from other places in U.S., and more educated than some other communities.","Community 1  Madeira, Blue Ash, Indian Hill, northeast suburbs of Hamilton County for Ohio House General Assembly HR.",1,
73,852,https://districtr.org/coi/13650,coi,,Cincinnati-Northside,,"The ""hip"" neighborhood of Cincinnati, where a raucous, sexy, diverse 4th of July parade is held every year (except for COVID), and the Gay Pride parade used to take place. Lots of fun small restaurants. Lots of artists. Diverse neighborhood with fears of gentrification.",Cincinnati-Northside,1,
75,2484,https://districtr.org/COI/13748,coi,,OOC.PH.COMM,,"Predominately Black ppl leave here. 

Churches  are key to the community. 

There One Kroger all Black ppl in this community go to. 

Good Sam Hospital was key in the community until it was closed 

There is no hospital. There is a high end golf course that is geographically in the community but not accessible to the community. 

There is a need for a full operating grocery store. 

To get healthcare have to go to Miami valley hospital. 

For groceries, have to go to the Kroger on the East Side. Upscale grocery stores located in the suburbs. 

Jobs is the most important issue for this community. Working class/low wage jobs and housing is all that is available. 

Trotwood - Older folks who own their homes but the property value is not very high. ",Westside of Dayton,1,
76,2483,https://districtr.org/COI/13982,coi,,WA.MM.COMM,,"Working Class Neighborhood 

Very ""Pink"" Area 

Urbancrest - History of segregation, Primarily Black

Important Places: Toso, Mid-Ohio Food Bank, Large Distribution facilities such as Walmart
Top Issues: Bring decent business in, sustainable environmental polices/activities (composting, recycling), Need better broadband, jobs, state representatives not very present. 

History - Presence of KKK membership 

Split Rock Golf Club- Member Only 

More in common with the westside above 270, aspirations of becoming more like Hillard, middle class and wealth of services. 

City council representation is 100%  one party (Republican) ",Grove City ,1,
77,2482,https://districtr.org/COI/14062,coi,,America_Votes,,"Suburban area, above average income, fairly white compared to the surrounding area, but significant diversity when compared to Ohio or the Greater Cleveland area as a whole. There's also a large Jewish population. There are several grocery stores, shopping centers, and neighborhood gathering places in this community. Most people in this area own their homes rather than renting. Great public schools and several private and parochial schools. The area leans heavily Democratic and progressive. ",Greater Shaker Heights,1,
80,874,https://districtr.org/coi/14180,coi,,Community 1,,"My community is a mix of a few neighborhoods that are super close. People interchangeably travel between these three neighborhoods. It is predominantly Black population with also a large Asian population. Although there are a plethora of institutionalized resources and black owned businesses. Poverty, lack of quality housing still exists. These areas have an average low income threshold. It's a huge cultural area. It's a Eds and Meds area. ",Community 1,1,
82,1044,https://districtr.org/coi/14224,coi,,Greater Shaker Heights,,"Suburban area, above average income, fairly white compared to the surrounding area, but significant diversity when compared to Ohio or the Greater Cleveland area as a whole. There's also a large Jewish population. There are several grocery stores, shopping centers, and neighborhood gathering places in this community. Most people in this area own their homes rather than renting. Great public schools and several private and parochial schools. The area leans heavily Democratic and progressive. ",Greater Shaker Heights,1,
83,2480,https://districtr.org/COI/14265,coi,,OOC.AW.COMM,,"Important locations
Bank- Kemba 
Church- Word of deliverance 
Store- Kroger, Sams
Pharmacy- CVG 
Rec Center- Springdale Rec 
School- Bethany, St. Gab, Princeton 
Golf Course

Could use hospital and medical center. Urgent Care in Springdale 

Issues most important: Taxes, property value, community safety, policing, diversity.  

Glendale would be apart of my community. Tri-county ",OOC. AW. COMM,1,
84,2479,https://districtr.org/COI/14337,coi,,OOC.,,"Landsdown. Inner city of Youngstown
Diverse community members: Latinx, Black. 
Two convenience stores in walking distance and  grocery stores a short distance away. Revitalization project. Former Steel city. Rebuilding  new jobs. Single family homes with duplexes and townhomes. Lacking in parks and recreation spaces. 
",Northeast Ohio: Youngstown and Surrounding,1,
85,2478,https://districtr.org/COI/14338,coi,,OOC.TL.COMM,,"Predominately Black Area. 

Doesn't extend over 75. 

Roselawn is not apart of the Bon Hill Community but often gets put together because both are predominately Black Communities. 

Predominately older Black Community. Used to be all homeowners, now shifted to majority renters. 

Some power in the business district and Maketewah Country Club/Golfcourse. 

Part of ward 7, it is a Black community that votes in large numbers. Has been apart of the Cincinnati for about 150 years.

 The community is worried about gentrification, redevelopment, and flooding. There is no full grocery stores in Bon Hill. ",Bond Hill Community,1,
86,1037,https://districtr.org/coi/14339,coi,,OOC.CC.Comm,,"German Village, Merion Village, Schiller Park, Scioto Mile, Victorian Village, Old North, Campus residential area, my grocery store (Kroger on Front St) ",OOC.CC.Comm,1,
87,2477,https://districtr.org/COI/14341,coi,,OOC.KJ.COMM,,"Went to school in Cleveland Heights.

East Cle is mostly black. And Cleveland heights is more diverse. 

East Cle doesn't have resource.


East Cle Issues: Road quality; supporting small businesses. 

Cleveland Heights Issues: Policing; local politics, recycling, affordable housing, gen

Euclid Issue: Enirvo, jail, policing

Anything missing: segregation and school funding. 
",East Cleveland Community,1,
88,1040,https://districtr.org/coi/14343,coi,,Is that Coffee or Bourbon,,"Public school in pleasant ridge but serves families in Golf Manor 

Golf Manor is an all black suburb separated from white suburb in past

Many breweries: MadTree Brewing; High Grain; Nine Giant

Great restaurant district in the heart of pleasant ridge

Extraordinarily diverse community, 50/50 black/white

Very diverse income wise --- many wealthy people and working class people ... all go to Pleasant Ridge Montasori

Walkable bikable, bourbon bar that just opened

MISSING:

Skateboard park; 

Infrastructure issues --- trash pickup / litter

ISSUES:

Diversity is extraordinary but it's under threat, price of housing is skyrocketing  --- gentrification; 

Some controls built in, high stock of apartments, but that's all under threat

Racism alongside diverse community --- coded language around homelessness and other issues

",Is that Coffee or Bourbon,1,
89,891,https://districtr.org/coi/14344,coi,,"Westwood, a community of Metro Dayton",,"Predominately African America, 10% other, $27,000 average income, Single parent households 90%, Average family size of 3-2 kids 1 parent. 

Several churches, including  a strong AME community, public schools. No major medical facility. Food desert. Closet grocery store is  a Kroger, outside the community. On the bus route. 

Issues that are most important: Job opportunities in the area, well-paying jobs, lot of minimum wage jobs in the area, food desert makes it hard to fresh produce, under-funded schools, test scores aren't the greatest which contributes to funding, high crime rate, broad range, robberies, shooters, community is under-policed, sees a police officer every couple months. 

Surrounding communities: Metro Dayton is similar, when you branch out the suburbs, it's totally different. Oakwood is the closest suburb, home to the University of Dayton. 

Political representation: Metro Dayton should be kept together, not split apart or pulled into the suburbs. ","Westwood, a community of Metro Dayton",1,
90,2476,https://districtr.org/COI/14345,coi,,OOC.RB.COMMS,,"Grow up in Jefferson. Went to school in Jefferson and North Kingsville.

Bunch singers was a local band. Active churches in the area. 

Issues: poverty rate is high; property value is low. drugs & addiction. Growing incarceration rates. Mostly ran by Rs. 

Politically changing. Going Red. Strong law and order messages/culture and crack down on immigrants. 

Growing latino population",Rural NE Ohio Community from the South,1,
91,892,https://districtr.org/coi/14347,coi,,"Girard, OH: Northeast ",,"No grocery stores in walking distance. Gas stations, (Jib Jab). Small town vibes. Everyone knows everyone. Fast food restaurants. Green spaces and parks. Not diverse, mostly white families. ","Girard, OH: Northeast ",1,
92,2475,https://districtr.org/COI/14348,coi,,OCC.DH.COMM,,"Majority White people. There is an increase in Black & Hispanic Population. White people are starting to move west, going towards Indiana. 

Mixture of pockets of homeowners and pockets of renters. Income levels are mixed.

Historically this was a racist community. This was the first suburb of Cincinnati.  

Inlcine District: More wealthy folks live here. Very nice housing in this area. There are many police officers who live here. 

Issues for the wealthy (Incline): Crime & Safety.

Issues for the working class: Transportation.

Due to gentrification, Black folks were pushed from downtown to the westside. The rent is cheaper on the westside. 

Missing in this community: Black Identity, there are not activities that celebrates the Black Culture. ",East Price Hill Community,1,
93,893,https://districtr.org/coi/14349,coi,,Madison road,,"Lots of diversity, also lots of gentrification, probably the central places are the grocery store, there's a library a couple of libraries --- dog parks --- there's one dog park; there's a lot of coffee shops etc. along Madison road

there's a  huge church in the middle of all this.",Community 1,1,
94,894,https://districtr.org/coi/14350,coi,,OOC.Youngstown.COMM,,"Food desert - No grocery stores - Several miles out - last one did not survive the pandemic - lots of convenience stores
Great amount of poverty
Free lunches - are core to the needs of communities
Community: majority black, more hispanic community (Puerto Rican), Other communities (Somalian, Eastern European).
Decline in population: Loss of steal mills.
Crime rate is very high
High rates of incarceration: Young black males
Lots of prisons
Economy: 23k 
Work: No big industry, lots of services, and university, hospital is a big provider.
Lots of industrial housing: Vacant properties
Big push to tear down properties to create green spaces. Lots of streets closed.
Education: School is a mess, governor instituted takeover (because schools kept failing).
Populations: Irish and Italians large populations came to work in steel mills.
Drug trade: Big problem with black population.
Political views: Blue collar, but voted Trump. 2020 it went Red. Lots of issues with disenfranchisement.
Police commission oversight happening.
Corruption: Rampant, massive mistrust of government.
Surroundings are more rural.
Religion: Large jewish community, and other religion, mostly Catholic (because of Italians and Irish). Biggest is Baptist
Logan: Old money
South East: Greek Side
Center: Mixed and interaccial
Transportation: WRTA - Not great, people dont want to drive downtown, Train has not run in a while.

Things we would like to see:
- Support net for children and adulthood
- Supporting mothers
- More jobs
- Skill gap - People need to be reached out to - Community college has not been 
- Food
- Education




",OOC.Youngstown.COMM,1,
96,2474,https://districtr.org/COI/14352,coi,,OOC.DM.COMM,,"Public school in pleasant ridge but serves families in Golf Manor 

Golf Manor is an all black suburb separated from white suburb in past

Many breweries: MadTree Brewing; High Grain; Nine Giant

Great restaurant district in the heart of pleasant ridge

Extraordinarily diverse community, 50/50 black/white

Very diverse income wise --- many wealthy people and working class people ... all go to Pleasant Ridge Montasori

Walkable bikable, bourbon bar that just opened

MISSING:

Skateboard park; 

Infrastructure issues --- trash pickup / litter

ISSUES:

Diversity is extraordinary but it's under threat, price of housing is skyrocketing  --- gentrification; 

Some controls built in, high stock of apartments, but that's all under threat

Racism alongside diverse community --- coded language around homelessness and other issues

",Is that Coffee or Bourbon,1,
97,2473,https://districtr.org/COI/14353,coi,,OOC.PG.COMM,,"This is a community map of Edgewater, which is a community that sits right on the edge of Lake Erie just outside of downtown Cleveland. Edgewater Park is a central landmark of the community. Baltic Children's Park is on edge of Edgewater. Smaller corner drug stores - mixture of both big box stores and smaller stores. Lots of public art, theatre, churches, 78th Studio (collective art space where vendors sell their goods, like a flea market), a couple of libraries, Stockyard Meats, a bakery. There are schools in the community, but higher education institutions are outside the community. There are some grocery stores inside the community.  Some bigger box stores (like Target and Aldi) are just outside the community. 

Neighboring communities that are similar or where interviewee engages/travels to via foot in outside of the central Edgewater area: Lakewood, Cuddell, Gordon Square, Battery Park ",OOC.DM.COMM,1,
